"filename", "language", "C++", "YAML", "Dart", "Markdown", "JSON", "HTML", "Swift", "XML", "Java Properties", "Properties", "comment", "blank", "total"
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\lib\presentation\screens\commerce\commerce_home_screen.dart", "Dart", 0, 0, 957, 0, 0, 0, 0, 0, 0, 0, 3, 33, 993
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\lib\presentation\screens\commerce\commerce_login.dart", "Dart", 0, 0, 428, 0, 0, 0, 0, 0, 0, 0, 9, 14, 451
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\lib\presentation\screens\commerce\commerce_signin_screen.dart", "Dart", 0, 0, 566, 0, 0, 0, 0, 0, 0, 0, 12, 35, 613
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\lib\presentation\screens\commerce\components\exit_confirmation_dialog.dart", "Dart", 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 1, 4, 67
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\lib\presentation\screens\commerce\components\show_exit_confirmation.dart", "Dart", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 2, 23
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\lib\presentation\screens\commerce\components\show_logout_confirmation.dart", "Dart", 0, 0, 114, 0, 0, 0, 0, 0, 0, 0, 0, 3, 117
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\lib\presentation\screens\commerce\orders\orders_screen.dart", "Dart", 0, 0, 715, 0, 0, 0, 0, 0, 0, 0, 0, 30, 745
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\lib\presentation\screens\commerce\products\product_form_dialog.dart", "Dart", 0, 0, 590, 0, 0, 0, 0, 0, 0, 0, 2, 20, 612
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\lib\presentation\screens\commerce\products\products_screen.dart", "Dart", 0, 0, 787, 0, 0, 0, 0, 0, 0, 0, 3, 21, 811
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\lib\presentation\screens\commerce\profile\commerce_profile_screen.dart", "Dart", 0, 0, 844, 0, 0, 0, 0, 0, 0, 0, 2, 19, 865
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\lib\presentation\screens\commerce\promotions\promotion_form_dialog.dart", "Dart", 0, 0, 619, 0, 0, 0, 0, 0, 0, 0, 3, 21, 643
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\lib\presentation\screens\commerce\promotions\promotions_screen.dart", "Dart", 0, 0, 859, 0, 0, 0, 0, 0, 0, 0, 4, 34, 897
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\lib\presentation\screens\commerce\stats\stats_screen.dart", "Dart", 0, 0, 1009, 0, 0, 0, 0, 0, 0, 0, 1, 23, 1033
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\lib\presentation\screens\mode_selector_screen.dart", "Dart", 0, 0, 208, 0, 0, 0, 0, 0, 0, 0, 2, 8, 218
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\lib\presentation\screens\splash_screen.dart", "Dart", 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 2, 12, 94
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\lib\presentation\widgets\custom_password_field.dart", "Dart", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 1, 4, 57
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\lib\presentation\widgets\custom_text_field.dart", "Dart", 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 4, 87
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\lib\presentation\widgets\gradient_app_bar.dart", "Dart", 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 4, 55
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\lib\presentation\widgets\gradient_bottom_bar.dart", "Dart", 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 3, 59
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\lib\presentation\widgets\gradient_card.dart", "Dart", 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 5, 68
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\lib\presentation\widgets\gradient_sliver_app_bar.dart", "Dart", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 3, 58
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\lib\presentation\widgets\widgets_methods.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\linux\flutter\generated_plugin_registrant.cc", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 16
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\linux\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\linux\runner\main.cc", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\linux\runner\my_application.cc", "C++", 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 27, 131
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\linux\runner\my_application.h", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 3, 4, 29
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 2, 4, 13
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 3, 14
